"Ventas por linea de artículo","","","","","","","","","","",""
"","Desclinea","Articulo","Descripción","Cant.Vendida","Importe","Impuesto","Total","","$11,041,226.83","$8,376,760.82","75.87%"
"VELADORAS","VELADORAS","VECUBAP","CUBERO ANGELITO PROFINA","180","3268.4","0","3268.4","","","",""
"SOP","SOPAS                                             ","SOMODCO2","Codo 2 la moderna C/20 pza","30","3230.6","0","3230.6","","","",""
"CAFES","CAFES","CANESDE12","Nescafe DESCAFEINADO 120gr","49","3224.3992","0","3224.3992","","","",""
"ACEITES","ACEITES                                           ","ACCAP5","Aceite CAPULLO 5lt","23","3217.7","0","3217.7","","","",""
"JUG","JUGOS","JUGAT1","Gatorade 1lt","150","3210.7992","0","3210.7992","","","",""
"VELADORAS","VELADORAS","VECUB","Cubero CIELO DECORADO","185","3206.7","0","3206.7","","","",""
"SEM","SEMILLAS                                          ","SEARRSR","Arroz SOS ROJO 1kg","119","3204.798","0","3204.798","","","",""
"CHIENLA","CHILES ENLATADOS","CHGUEC","Chiles Largos COSTEÑA 380g","115","3199.5416","0","3199.5416","","","",""
"SHAMPOO","SHAMPOO´S                                         ","SHHED7","Head Shoulders 650 ML","37","3196.9","0","3196.9","","","",""
"FARMACIA","FARMACIA                                          ","SUSUE5","Suerox 500ml","198","3189.38","0","3189.38","","","",""
"DURAZNO","DURAZNOS                                          ","DUMAX3","Durazno MAXIMA 3kg","27","3183.3","0","3183.3","","","",""
"FRENL","FRIJOLES EN LATADOS                               ","FRSIEEN5","Frijol Sierra ENTERO Negro 580g","240","3179.9424","0","3179.9424","","","",""
"DET","DETERGENTES ROPA","DECAR2","Detergente CARISMA 250g","372","3171.15","0","3171.15","","","",""
"INSE","INSECTIDAS                                        ","INOKOE","Oko AEROSOL 400ml","54","3155.9214","0","3155.9214","","","",""
"LEPOL","LECHES EN POLVO                                   ","LENIDKC","Nido KINDER  360g CH","53","3115.0396","0","3115.0396","","","",""
"HARINA","HARINAS                                           ","HAARR5","Harina Arroz 3 ESTRE 500gr","168","3101.4286","0","3101.4286","","","",""
"CHOCOLATE","CHOCOLATES","CHCHOB","Choco Milk BOLSA 350 gr","85","3075.725","0","3075.725","","","",""
"VINA","VINAGRES                                          ","VICOSB4","Vinagre COSTEÑA BLANC 4LT","97","3055.8","0","3055.8","","","",""
"FARMACIA","FARMACIA                                          ","FAALC8","Alcohol  110ml","270","3054.8776","0","3054.8776","","","",""
"ALUMINIOS","ALUMINIOS                                         ","ALALU8","Alupack 8MT","261","3051.426","0","3051.426","","","",""
"CONDIMENTO","CONDIMENTOS                                       ","COACHC","ACHIOTE CH 110 GR","301","3032.9","0","3032.9","","","",""
"FARMACIA","FARMACIA                                          ","FATERT","Terramicina TROCISCO 24/125mg","18","3011.3","0","3011.3","","","",""
"TOALLA","toallas","TONATCA","Naturella C/alas 8pz","217","3006.9","0","3006.9","","","",""
"JAPAS","JABONES PASTA","JPROM4","Roma PASTA 400g","201","2969.6492","0","2969.6492","","","",""
"CHOCOLATE","CHOCOLATES","CHMORP","Morelia Presidencial 357g","119","2969.3008","0","2969.3008","","","",""
"SALS","SALSAS                                            ","SAING1","SALSA INGLESA 100 ml","90","2926.26","0","2926.26","","","",""
"FRENL","FRIJOLES EN LATADOS                               ","FRCOSG","Frijol Costeña REFRI 820gr","148","2909.6408","0","2909.6408","","","",""
"SOP","SOPAS                                             ","SOMODMO1","Moñito la moderna C/20","27","2900.3","0","2900.3","","","",""
"LEPOL","LECHES EN POLVO                                   ","LENAN2","Nan 2 CH 350 gr","23","2871.46","0","2871.46","","","",""
"JAPAS","JABONES PASTA","JPCORR","Corona ROSA 400gr","182","2866.2","0","2866.2","","","",""
"CALDO","CALDOS                                            ","CANORT8","Knorr-Conso TOMATE SUPER 8","150","2838","0","2838","","","",""
"MER","MERMELADA                                         ","MECLE1","Mermelada 980g CLEMENTE","55","2834","0","2834","","","",""
"VELADORAS","VELADORAS","VETAZMU","Taza MUG  AZUL FAMA","118","2833.997","0","2833.997","","","",""
"CAFES","CAFES","CANESCLSM","Nescafe CLASICO   28gr Bolsa","189","2825.1036","0","2825.1036","","","",""
"VELADORAS","VELADORAS","VEFAR1","Farol #1  PZ","439","2810","0","2810","","","",""
"JAPAS","JABONES PASTA","JPFLO","Floral 400g","236","2804.3","0","2804.3","","","",""
"FRU","FRUTAS SECAS                                      ","FRCIR","CIRUELA Pasa KG","39.74","2802.6","0","2802.6","","","",""
"VELADORAS","VELADORAS","VELECAZ","Lechero AZUL FAMA pz","180","2796.6","0","2796.6","","","",""
"DES","DESECHABLES                                       ","plposg","Plato Pozolero GRANDE PH8","229","2786.9","0","2786.9","","","",""
"FARMACIA","FARMACIA                                          ","FAALI","ALIVIAX 10tabs","34","2786.7","0","2786.7","","","",""
"INSE","INSECTIDAS                                        ","INRAYCJ4","Raid CASA Y JARDIN 400ml","53","2781.2504","0","2781.2504","","","",""
"JUG","JUGOS","JUDELG","Del Valle GENEROSA PZA","227","2762.54","0","2762.54","","","",""
"VELADORAS","VELADORAS","VEVIRL","VIRGO LISO pz","206","2760.2","0","2760.2","","","",""
"SEM","SEMILLAS                                          ","SELEN","Lenteja chica","119.03","2745.72","0","2745.72","","","",""
"ALIMENTOS","ALIMENTOS                                         ","ALPEDCS","Pedigree Sobre Cachorro 100g","301","2732.82","0","2732.82","","","",""
"PAÑ","PAÑALES                                           ","PABEBM40","Bebin MED 40pz","30","2728.8","0","2728.8","","","",""
"SALS","SALSAS                                            ","SATAJ","Tajin 142g","111","2715.8604","0","2715.8604","","","",""
"SEM","SEMILLAS                                          ","SEARRMR","Arroz Morelos ROJO g largo 900g","82","2705.9","0","2705.9","","","",""
"LEPOL","LECHES EN POLVO                                   ","LENAN315","Nan 3 1.5kg","9","2691","0","2691","","","",""
"CAFES","CAFES","CAORO2","Cafe ORO 200gr","41","2679.95","0","2679.95","","","",""
"DET","DETERGENTES ROPA","DESALL6","Salvo LIQUIDO  500ml","149","2678.618","0","2678.618","","","",""
"CAFES","CAFES","CAVEN","Cafe VENCEDOR 30g","1325","2660.7","0","2660.7","","","",""
"OTROS","OTROS                                             ","DEMIC","Desinfectante Microdin","144","2648.542","0","2648.542","","","",""
"QUE","QUESOS                                            ","QURAYD","Queso Rallado DELICIAS KG","61","2633","0","2633","","","",""
"VELADORAS","VELADORAS","VECERP2","Cera PROFINA c/2pza","47","2628.1","0","2628.1","","","",""
"CONDIMENTO","CONDIMENTOS                                       ","COACH1","Achiote 1kg","38","2618.2","0","2618.2","","","",""
"HARINA","HARINAS                                           ","HAOME10","Harina OMEGA  10kg","24","2616","0","2616","","","",""
"VIN","VINOS                                             ","VIPREA7","Presidente 700ml","28","2608.3004","0","2608.3004","","","",""
"CEREAL","CEREALES                                          ","CECHO7","Choco Crispis 620","46","2606.42","0","2606.42","","","",""
"SER","SERVILLETAS                                       ","SERPE","Servitoalla PETALO 180 hojas","133","2601.18","0","2601.18","","","",""
"CAFES","CAFES","CAESMIV","Esmart Instantaneo CHICO pz","571","2586","0","2586","","","",""
"SOP","SOPAS                                             ","SOMODCO4","Codo 4 la moderna C/20 pza","24","2578.8","0","2578.8","","","",""
"SEM","SEMILLAS                                          ","SEMAIP","Maiz PALOMERO kg","131","2578.75","0","2578.75","","","",""
"SALS","SALSAS                                            ","SACAPB","Catsup BACHI 3.800g","44","2576","0","2576","","","",""
"JUG","JUGOS","JUBOIB","Boing  354ml BOTELLA","279","2570.4032","0","2570.4032","","","",""
"VELADORAS","VELADORAS","VECOPNOA","COPA NORMANDIA AZUL","117","2570","0","2570","","","",""
"ALIMENTOS","ALIMENTOS                                         ","ALHID","Alimento Hi Dog Cachorro kg","96.14","2555.548","0","2555.548","","","",""
"CEPILLO","CEPILLOS                                          ","CECOL","Cepillo COLGATE","245","2549.4446","0","2549.4446","","","",""
"SALS","SALSAS                                            ","SACAT9","Catsup CLEMENTE 970g","73","2547.7","0","2547.7","","","",""
"ESPECIE","ESPECIES                                          ","ESPEP","Pepita Verde","19.91","2540.01","0","2540.01","","","",""
"CHISEC","CHILES SECOS                                      ","CHSECAN","Chile Seco ANCHO KG","27.015","2537.21","0","2537.21","","","",""
"SHAMPOO","SHAMPOO´S                                         ","SHHED2","Head & Shoulders  180ml","101","2532.309","0","2532.309","","","",""
"VELADORAS","VELADORAS","VECOPRU","Copa RUBI","140","2529.9976","0","2529.9976","","","",""
"VINA","VINAGRES                                          ","VICOSM1","Vinagre COSTEÑA MZNA 1lt","150","2502.6976","0","2502.6976","","","",""
"JAPAS","JABONES PASTA","JPCORA","Corona AMARILLO 400gr","165","2477.8","0","2477.8","","","",""
"MER","MERMELADA                                         ","MECLEG","Mermelada  500g CLEMENTE","84","2476.9002","0","2476.9002","","","",""
"SOP","SOPAS                                             ","SOMODCO3","Codo 3 la moderna C/20 pza","23","2467.1","0","2467.1","","","",""
"CIGARRO","CIGARROS                                          ","CIDEL15","Delicados C/FILTRO  15c CHESTERFIELD","67","2465","0","2465","","","",""
"CHIENLA","CHILES ENLATADOS","CHJAL2","Jalapeños COSTEÑA 220g","280","2445.1724","0","2445.1724","","","",""
"CHIENLA","CHILES ENLATADOS","CHJAL1","Jalapeños COSTEÑA 780g","101","2426.688","0","2426.688","","","",""
"ALUMINIOS","ALUMINIOS                                         ","ALMET10","Metafoil  10M","302","2424.19","0","2424.19","","","",""
"REF","REFRESCOS                                         ","REVIT3","VITALOE 320ml","202","2413.5332","0","2413.5332","","","",""
"HIGIENICO","HIGIENICOS                                        ","HIVOGIN","Vogue INDIVIDUAL 500hjs","323","2409.9","0","2409.9","","","",""
"CHIENLA","CHILES ENLATADOS","CHJAL3","Jalapeños 3kg COSTEÑA","49","2396.1","0","2396.1","","","",""
"HARINA","HARINAS                                           ","HAPAS5","Harina crock pastel 500 CHOCOLATE gr","50","2383.6512","0","2383.6512","","","",""
"CHOCOLATE","CHOCOLATES","CHCHOL","Choco Milk LATA 400gr","51","2380.19","0","2380.19","","","",""
"ESPECIE","ESPECIES                                          ","ESCAR","Carbonato KG","125.37","2361.16","0","2361.16","","","",""
"CHIENLA","CHILES ENLATADOS","CHJAL5","Jalapeños COSTEÑA 380g","164","2360.2512","0","2360.2512","","","",""
"FRENL","FRIJOLES EN LATADOS                               ","FRSIERN","Frijol Sierra REFRI NEGRO  440gr","202","2352.7684","0","2352.7684","","","",""
"CREFAC","CREMAS FACIALES                                   ","CRNIVT","Nivea TARRO 500ml","21","2352","0","2352","","","",""
"GEL","GEL                                               ","GEEXT25","Gel XTREME 250GR","240","2348.3976","0","2348.3976","","","",""
"ALIMENTOS","ALIMENTOS                                         ","ALWHIS","WHISKAS SOBRE","258","2343.1488","0","2343.1488","","","",""
"CHISEC","CHILES SECOS                                      ","CHSECMOC","Mora CHICA KG","33.985","2311.825","0","2311.825","","","",""
"PASTA","PASTAS                                            ","PACOLT15","Colgate Triple Accion 150ml","77","2309.2408","0","2309.2408","","","",""
"TOALLA","toallas","TOSABC","Saba CLIP C/10pz","151","2300.8158","0","2300.8158","","","",""
"JUG","JUGOS","JUGAT","Gatorade Tapa Plana 500ml","166","2294.0812","0","2294.0812","","","",""
"FRENL","FRIJOLES EN LATADOS                               ","FRSIEEB5","Frijol Sierra ENTERO BAYO 580","171","2287.7904","0","2287.7904","","","",""
"LEPOL","LECHES EN POLVO                                   ","LENID3G","Nido 3+ 1600gr GD PreEscolar","11","2280.5002","0","2280.5002","","","",""
"SPA","SPRAY                                             ","SPCAP","SPRAY Caprice","66","2279.2494","0","2279.2494","","","",""
"MAIZ","MAIZENAS                                          ","HAMAIESFR","Maizena FRESA 24/47g","16","2266","0","2266","","","",""
"ESPECIE","ESPECIES                                          ","ESAJO","Ajonjoli KG","41.03","2261.1","0","2261.1","","","",""
"JAPAS","JABONES PASTA","JPZOTC","Zote ROSA CH 200gr","283","2257.9","0","2257.9","","","",""
"CLORO","CLOROS                                            ","CLCLA1","Clarasol 1lt","288","2253.6","0","2253.6","","","",""
"FOC","FOCOS                                             ","FOBUL1","Foco Halogeno Bulbix 72w","210","2250","0","2250","","","",""
"DET","DETERGENTES ROPA","DEESPV5","Espumil VERDE  500g","162","2247","0","2247","","","",""
"DET","DETERGENTES ROPA","DEACE5","Ace 500gr","126","2242.6002","0","2242.6002","","","",""
"CAFES","CAFES","CACOF3","Coffee Mate 311gr","60","2241.1004","0","2241.1004","","","",""
"CAFES","CAFES","CAORO5","Cafe ORO  50gr","109","2238.8212","0","2238.8212","","","",""
"SALS","SALSAS                                            ","SAVALN5","Valentina Negra 360ml","198","2211.2032","0","2211.2032","","","",""
"TOALLA","toallas","TOHUMA9","Toallitas Humedas Absorsec C/90","117","2209.3008","0","2209.3008","","","",""
"ENLATADO","ENLATADOS                                         ","ENELO5","Elotes CLEMENTE 410gr","150","2205.8008","0","2205.8008","","","",""
"MAIZ","MAIZENAS                                          ","HAMAI16","Maizena 160gr","150","2196.4876","0","2196.4876","","","",""
"CHIENLA","CHILES ENLATADOS","CHNAC","Nachos 3kg CLEMENTE","32","2190.84","0","2190.84","","","",""
"CHIENLA","CHILES ENLATADOS","CHRAJ3","Rajas 3kg COSTEÑA","30","2187","0","2187","","","",""
"MAIZ","MAIZENAS                                          ","HAMAIG","Maizena 425g","64","2162.216","0","2162.216","","","",""
"PAL","PALOMITAS                                         ","PAACTEM","Palomitas act II EXTRA MANTEQUILLA C/14","16","2160.7","0","2160.7","","","",""
"REF","REFRESCOS                                         ","REPEP2","Pepsi 2lt","112","2156","0","2156","","","",""
"SOP","SOPAS                                             ","SOMODLE","Lengua la moderna C/20","20","2148","0","2148","","","",""
"JUG","JUGOS","JUCLA9","CLAMATO 946.ML","70","2146.8404","0","2146.8404","","","",""
"CALDO","CALDOS                                            ","CARICS18","Riko Pollo 180g","121","2142","0","2142","","","",""
"VELADORAS","VELADORAS","VEECOLC","Ecol Caramelo  CIELO","60","2131.7004","0","2131.7004","","","",""
"ALIMENTOS","ALIMENTOS                                         ","ALBERC","ALIMENTO BERISCAN CACHORRO","85.13","2121.72","0","2121.72","","","",""
"DET","DETERGENTES ROPA","DEARC9","DETERGENTE Arcoiris 9kg","12","2109.8","0","2109.8","","","",""
"DET","DETERGENTES ROPA","DEMAE6","Maestro Limpio  500gr","154","2109.35","0","2109.35","","","",""
"VELADORAS","VELADORAS","VEBAR","VELADORA BARCELONA","144","2100.54","0","2100.54","","","",""
"DURAZNO","DURAZNOS                                          ","DUSANA","Durazno DON AGUSTIN 800gr","56","2098.5992","0","2098.5992","","","",""
"QUE","QUESOS                                            ","QUPUEE","Queso de Puerco Economico","45.39","2083.401","0","2083.401","","","",""
"GALLETAS","GALLETAS","GACHA","Chavalin  560g","47","2078.5","0","2078.5","","","",""
"GEL","GEL                                               ","GEANT3","Gel Anti Bacterial AG BRITZ 355ml","54","2078","0","2078","","","",""
"SYS","LINEA GENERAL","PAREV","Papel Revolucion kg GD","106.7235","2076.867","0","2076.867","","","",""
"CERILLO","CERILLOS                                          ","CEFLA","CERILLO FLAMA CHICO 32c","1747","2059.6","0","2059.6","","","",""
"FRU","FRUTAS SECAS                                      ","FRALM","Almendra KG","11.749","2057.005","0","2057.005","","","",""
"GALLETAS","GALLETAS","GANAP3","Napolitanas 600g 3 PQ","49","2056.9","0","2056.9","","","",""
"QUE","QUESOS                                            ","QUPUEF","Queso de Puerco FUD MQTA","6","2053","0","2053","","","",""
"CEREAL","CEREALES                                          ","CEZUC3","Zucaritas  260gr","82","2050.4708","0","2050.4708","","","",""
"JAM","JAMON                                             ","JAVIRP","Jamon Fud VIRGINIA PAVO 3.95kg MQA","5","2036","0","2036","","","",""
"VINA","VINAGRES                                          ","VICOSB1","Vinagre COSTEÑA BLANC 1lt","177","2031.9","0","2031.9","","","",""
"HARINA","HARINAS                                           ","HAMOD1","Harina MODERNA 1kg","143","2024.3","0","2024.3","","","",""
"ENLATADO","ENLATADOS                                         ","ENELO2","Elotes CLEMENTE 220gr","222","2019.3416","0","2019.3416","","","",""
"TOALLA","toallas","TOSABIN","Saba Ultra Invisible NOCTURNA 10pz","73","1998.8988","0","1998.8988","","","",""
"TOALLA","toallas","TOALWN","Always NOCTURNA noches suaves 8pz","104","1991.0416","0","1991.0416","","","",""
"CERILLO","CERILLOS                                          ","CEJAG","Cerillo Jaguar 50pz","49","1967","0","1967","","","",""
"SEM","SEMILLAS                                          ","SEGAR","Garbanza chica","113.295","1958.31","0","1958.31","","","",""
"ALUMINIOS","ALUMINIOS                                         ","ALMET100","Metafoil 100 reforzado","34","1957.6","0","1957.6","","","",""
"PASTA","PASTAS                                            ","PACOLT7","Colgate Triple Accion  75ml","138","1954.4136","0","1954.4136","","","",""
"CREFAC","CREMAS FACIALES                                   ","CRSED","CREMA Sedal 300ml","72","1952.9998","0","1952.9998","","","",""
"TOCADOR","JABON DE TOCADOR                                  ","JLBLU5","Jabon liquido Blumen 500ml","47","1952.66","0","1952.66","","","",""
"MAY","MAYONESAS                                         ","MOMAC3","Mostaza MACORNICK 3.850kg","16","1946.76","0","1946.76","","","",""
"REF","REFRESCOS                                         ","RECOC1","Coca Cola  1lt","117","1942.59","0","1942.59","","","",""
"SOP","SOPAS                                             ","SOMODMU","Municion la moderna C/20","18","1933.1","0","1933.1","","","",""
"ALUMINIOS","ALUMINIOS                                         ","ALMET50","Metafoil  50 reforzado","57","1923.8","0","1923.8","","","",""
"HARINA","HARINAS                                           ","HADUND","Harina Pastel Duncan Devil´s 432g","54","1919.97","0","1919.97","","","",""
"CAFES","CAFES","CANESC","Nescafe Capuccino Original 20gr","357","1915.149","0","1915.149","","","",""
"JAPAS","JABONES PASTA","JPZOTA","Zote AZUL 400gr","131","1910.2896","0","1910.2896","","","",""
"ALIMENTOS","ALIMENTOS                                         ","ALPEDAS","Pedigree Sobre Adulto 100g","213","1904.09","0","1904.09","","","",""
"CAJETAS","CAJETAS                                           ","CACOR","Cajeta Coronado 310 gr","44","1899.5","0","1899.5","","","",""
"SYS","LINEA GENERAL","C1","Comision recarga","1897","1898","0","1898","","","",""
"GEL","GEL                                               ","GEANTE1","Gel Antibacterial Escudo 750ml","24","1895","0","1895","","","",""
"TOCADOR","JABON DE TOCADOR                                  ","JTROS2","Rosa Venus 200gr","174","1893.5","0","1893.5","","","",""
"SHAMPOO","SHAMPOO´S                                         ","SHHEDE","Head & Shoulders SOBRE 10ml","1063","1877.6344","0","1877.6344","","","",""
"GALLETAS","GALLETAS","GAMARA","Marias AZUCARADAS 12/150g","14","1876","0","1876","","","",""
"SUA","SUAVISANTES","SUVEL1","Vel rosita 1lt","40","1870.1494","0","1870.1494","","","",""
"SHAMPOO","SHAMPOO´S                                         ","SHPALO4","Shampoo Palmolive OPTIMS 400ml","36","1869.5022","0","1869.5022","","","",""
"ENCENDEDOR","ENCENDEDORES                                      ","ENBICC","ENCENDEDOR BIC CHICO","194","1846","0","1846","","","",""
"GALLETAS","GALLETAS","GAHOJ","Hojaldradas 3/270","52","1834","0","1834","","","",""
"SOP","SOPAS                                             ","SOMODES","Estrella la moderna C/20 pza","17","1827","0","1827","","","",""
"CREFAC","CREMAS FACIALES                                   ","CRNIVB","Crema Nivea BODY 400ml","35","1825","0","1825","","","",""
"DES","DESECHABLES                                       ","CUSOP","Cuchara Sopera 25 pz","292","1824.7","0","1824.7","","","",""
"SOP","SOPAS                                             ","SOMODCA2","Caracol 2 la moderna C/20 pza","17","1824.6","0","1824.6","","","",""
"TOCADOR","JABON DE TOCADOR                                  ","JTTEP2","Tepeyac 200g","169","1812.603","0","1812.603","","","",""
"CHOCOLATE","CHOCOLATES","CHIDE5","CHOCOLATE IDEAL 540 GR","39","1794","0","1794","","","",""
"LEPOL","LECHES EN POLVO                                   ","LENIDC","Nido CLASICA  360g CH FORTI","35","1793.68","0","1793.68","","","",""
"FRENL","FRIJOLES EN LATADOS                               ","FRCOSRN5","Frijol Costeña REFRI NEGRO 568gr","131","1788.6508","0","1788.6508","","","",""
"SOP","SOPAS                                             ","SOMARPC","Maruchan POLLO PICANTE","196","1785.6","0","1785.6","","","",""
"TOALLA","toallas","TOPANN","Panti PROTECTORES NATURELLA 18pz","120","1768.0024","0","1768.0024","","","",""
"TOS","TOSTADAS                                          ","TOHID18A","Tostadas Hidalguense Ajonjoli 300g","124","1761.6012","0","1761.6012","","","",""
"TOCADOR","JABON DE TOCADOR                                  ","JTCAM15","Camay 150gr","157","1759.7136","0","1759.7136","","","",""
"GELA","GELATINA                                          ","GEGARP","Gelatina Gari PIÑA 50/170g","4","1759.6","0","1759.6","","","",""
"TINTES","TINTES","TISUA","TINTE SUAVISSENCE","63","1759","0","1759","","","",""
"CHICLE","CHICLES                                           ","CHTRI","Triden 4pastillas","720","1757.26","0","1757.26","","","",""
"INSE","INSECTIDAS                                        ","INRAYMB2","Raid MATA BICHOS 275ml","45","1754.8494","0","1754.8494","","","",""
"CAFES","CAFES","CALEGS1","Legal SOLUBLE 100 GR","50","1748.1996","0","1748.1996","","","",""
"SOP","SOPAS                                             ","SOMODTA","Tallarin 1 la moderna C/20","16","1725.5","0","1725.5","","","",""
"LEPOL","LECHES EN POLVO                                   ","LENIDM","Nido CLASICA  800g MED FORTI","15","1724.1","0","1724.1","","","",""
"YOG","YOGHURT                                           ","YODANG","Danonino GRANDE 4/84G","69.75","1718.5","0","1718.5","","","",""
"SOP","SOPAS                                             ","SOMODLET","Letra la moderna C/20","16","1718.4","0","1718.4","","","",""
"SOP","SOPAS                                             ","SOMODCO1","Codo 1 la moderna C/20 pza","16","1717.9","0","1717.9","","","",""
"MAY","MAYONESAS                                         ","MOMACA3","Mostaza apachurrable 360g","65","1716.6502","0","1716.6502","","","",""
"FARMACIA","FARMACIA                                          ","FACUB","Cubre Boca","376","1716","0","1716","","","",""
"PANE","PANES                                             ","7501000111855","PAN MOLIDO BIMBO","103","1707","0","1707","","","",""
"MAIZ","MAIZENAS                                          ","HAMAIESNU","Maizena NUEZ 24/47g","12","1704","0","1704","","","",""
"SALS","SALSAS                                            ","SACATC6","Catsup CLEMENTE 680G","61","1701.9","0","1701.9","","","",""
"VELADORAS","VELADORAS","VECUBSM","Cubero San Marcos Decorado pz","100","1695","0","1695","","","",""
"VIN","VINOS                                             ","VIAZT","Brandy Azteca de Oro 700ml","12","1693","0","1693","","","",""
"ACEITES","ACEITES                                           ","ACOLIP2","Aceite Olivo PURO 250ml","63","1689.12","0","1689.12","","","",""
"SUA","SUAVISANTES","SUSUA5","Suavitel  450ml","144","1687.596","0","1687.596","","","",""
"VIN","VINOS                                             ","VICAR","Vino CARIBE 288ml","108","1665.6","0","1665.6","","","",""
"FARMACIA","FARMACIA                                          ","FAVAP","Vaporru","99","1660.8228","0","1660.8228","","","",""
"PANE","PANES                                             ","PAMOLS","PAN MOLIDO SUELTO","100.75","1660.65","0","1660.65","","","",""
"FARMACIA","FARMACIA                                          ","FAXL3E","XL3 EXTRA c/12p","36","1646.5","0","1646.5","","","",""
"CALDO","CALDOS                                            ","CANOR10","Knorr Suiza SUPER  10cub","95","1642.9","0","1642.9","","","",""
"DES","DESECHABLES                                       ","PAELO","PALO p/Elote KG","86.96","1641.255","0","1641.255","","","",""
"GALLETAS","GALLETAS","GAEMPC","Emperador DE CHOCOLATE 16pz","11","1637.9","0","1637.9","","","",""
"SALS","SALSAS                                            ","SACATCL3K","Catsup CLEMENTE  3kg","26","1636.9","0","1636.9","","","",""
"PANE","PANES                                             ","7501000149100","PAN MOLIDO CRUJIENTE","100","1636","0","1636","","","",""
"SAL","SALES                                             ","SALMAR","Sal MARFIL kg","301","1627.5","0","1627.5","","","",""
"VIN","VINOS                                             ","VITON5","Tonayan 500ml","120","1624.8","0","1624.8","","","",""
"FARMACIA","FARMACIA                                          ","FAASPP","Aspirina PASTILLA 100pz","18","1613.3","0","1613.3","","","",""
"VELADORAS","VELADORAS","VEECODII4","Ecol Diamante #4 INMACULADA","47","1611.7992","0","1611.7992","","","",""
"FLA","FLANES                                            ","FLGAR","FLAN Gari 140g","205","1609.18","0","1609.18","","","",""
"FOC","FOCOS                                             ","FOPHI7","Foco LED PHILIPS 8w","52","1607.9244","0","1607.9244","","","",""
"FARMACIA","FARMACIA                                          ","FATAPA","Tabcin ACTIVE c/12","27","1600.5","0","1600.5","","","",""
"CLORO","CLOROS                                            ","CLCLOR1","Clorox 1lt","165","1600.1405","0","1600.1405","","","",""
"CRCOM","CREMAS COMESTIBLES                                ","CRCOC1","Calahua Crema Coco 1lt","32","1596.8","0","1596.8","","","",""
"VINA","VINAGRES                                          ","VIBARM4","Vinagre BARRILITO MZNA 4lt","29","1587.1","0","1587.1","","","",""
"BRILLANTINA","BRILLANTINAS                                      ","BRPALC","Brillantina Palmolive  52ml","82","1586.4","0","1586.4","","","",""
"FARMACIA","FARMACIA                                          ","FATAPE","Tabcin EFERVESCENTEpz","695","1576","0","1576","","","",""
"DET","DETERGENTES ROPA","DESAL1","Salvo 900g +100g","57","1575.7","0","1575.7","","","",""
"SALS","SALSAS                                            ","SAVALN1","Valentina Negra 1lt","72","1575.6","0","1575.6","","","",""
"TOCADOR","JABON DE TOCADOR                                  ","JTROSH","Rosa Venus Hotelero PZA","1200","1574.52","0","1574.52","","","",""
"FARMACIA","FARMACIA                                          ","FAPEB","Pepto Bismol pz","617","1571.2816","0","1571.2816","","","",""
"CALDO","CALDOS                                            ","CANORSV","Knorr suiza SUELTO Verde","87.5","1569","0","1569","","","",""
"HARINA","HARINAS                                           ","HAARR2","Harina Arroz 3 ESTRE 250gr","152","1568.0594","0","1568.0594","","","",""
"OTROS","OTROS                                             ","LIBELL","Limas Bellota 12pz","8","1563","0","1563","","","",""
"GALLETAS","GALLETAS","GAMEX1","Mexicanas 945g","45","1550.25","0","1550.25","","","",""
"DET","DETERGENTES ROPA","DEPUR1","Puro Sol 1kg","49","1548.58","0","1548.58","","","",""
"VELADORAS","VELADORAS","VETAZMA","Taza San Marcos Decorada pz","64","1542.488","0","1542.488","","","",""
"FARMACIA","FARMACIA                                          ","FANEO","Neomelubrina 10pz","21","1541.1","0","1541.1","","","",""
"PAPE","PAPEL                                             ","PAPERK","Periodico KG","85.655","1534.51","0","1534.51","","","",""
"MAN","MANTECAS                                          ","MACER1","Manteca Cerdo 1kg","68","1533.2","0","1533.2","","","",""
"FARMACIA","FARMACIA                                          ","FATEMF","Tempra FORTE 24pzas","18","1530","0","1530","","","",""
"INSE","INSECTIDAS                                        ","INOKOA","Oko AEROSOL 230ml","35","1527.75","0","1527.75","","","",""
"PIL","PIAGUIAA","PIDURAA","Duracell  AA pz","110","1517.202","0","1517.202","","","",""
"CRCOM","CREMAS COMESTIBLES                                ","CRALP1","CREMA Alpura 1kg","29","1511","0","1511","","","",""
"FRENL","FRIJOLES EN LATADOS                               ","FRCOSRB5","Frijol Costeña REFRI BAYO 580gr","113","1504.2508","0","1504.2508","","","",""
"FARMACIA","FARMACIA                                          ","FANEX","Next TABLETAS C/10","42","1497.2","0","1497.2","","","",""
"PASTA","PASTAS                                            ","PACOLT1","Colgate Triple Accion 100ml","63","1496.5008","0","1496.5008","","","",""
"POL","POLVOS                                            ","POSAB","Sabifrut  SOBRE 15g","365","1491.41","0","1491.41","","","",""
"PANE","PANES                                             ","7501000112784","NEGRITO NITO 62g","149","1489","0","1489","","","",""
"SHAMPOO","SHAMPOO´S                                         ","SHSEDE","Shampoo Sedal SOBRE 10ml","1086","1487.6616","0","1487.6616","","","",""
"SALS","SALSAS                                            ","SACATCL2","Catsup CLEMENTE 220gr","164","1486.4136","0","1486.4136","","","",""
"SALS","SALSAS                                            ","SATAJG","Tajin GD 255g","41","1476","0","1476","","","",""
"TOALLA","toallas","TOKOTUN","Kotex UNIKA NOCTURNA C/alas 10pz","60","1468.8","0","1468.8","","","",""
